Epoch: 0 	training: loss = 2.317643 	acc = 0.214150
Epoch: 43 	training: loss = 0.168237 	acc = 0.942945
Epoch: 44 	training: loss = 0.163959 	acc = 0.939360
Epoch: 45 	training: loss = 0.159714 	acc = 0.944264
Epoch: 46 	training: loss = 0.167633 	acc = 0.939834
Epoch: 47 	training: loss = 0.170567 	acc = 0.946192
Epoch: 48 	training: loss = 0.162708 	acc = 0.940104
Epoch: 49 	training: loss = 0.168122 	acc = 0.941761
Epoch: 50 	training: loss = 0.166303 	acc = 0.940578
Epoch: 51 	training: loss = 0.157743 	acc = 0.942945
Epoch: 52 	training: loss = 0.152075 	acc = 0.944974
Epoch: 53 	training: loss = 0.154824 	acc = 0.947849
Epoch: 54 	training: loss = 0.146889 	acc = 0.946733
Epoch: 55 	training: loss = 0.158847 	acc = 0.944095
Epoch: 56 	training: loss = 0.153555 	acc = 0.947883
Epoch: 57 	training: loss = 0.162165 	acc = 0.944839
Epoch: 58 	training: loss = 0.158697 	acc = 0.944366
Epoch: 59 	training: loss = 0.171990 	acc = 0.943655
Epoch: 60 	training: loss = 0.145117 	acc = 0.949100
Epoch: 61 	training: loss = 0.161640 	acc = 0.943655
Epoch: 62 	training: loss = 0.165419 	acc = 0.939867
Epoch: 63 	training: loss = 0.158024 	acc = 0.947376
Epoch: 64 	training: loss = 0.159586 	acc = 0.946023
Epoch: 65 	training: loss = 0.157522 	acc = 0.947883
Epoch: 66 	training: loss = 0.157826 	acc = 0.947409
Epoch: 67 	training: loss = 0.161941 	acc = 0.945955
Epoch: 68 	training: loss = 0.167468 	acc = 0.940307
Epoch: 69 	training: loss = 0.169558 	acc = 0.943588
Epoch: 70 	training: loss = 0.171842 	acc = 0.944366
Epoch: 71 	training: loss = 0.163535 	acc = 0.941964
Epoch: 72 	training: loss = 0.153488 	acc = 0.947409
Epoch: 73 	training: loss = 0.151979 	acc = 0.948627
Epoch: 74 	training: loss = 0.153926 	acc = 0.947443
Epoch: 75 	training: loss = 0.165484 	acc = 0.943385
Epoch: 76 	training: loss = 0.172733 	acc = 0.936722
Epoch: 77 	training: loss = 0.156528 	acc = 0.948830
Epoch: 78 	training: loss = 0.154763 	acc = 0.945549
Epoch: 79 	training: loss = 0.158289 	acc = 0.947443
Epoch: 80 	training: loss = 0.150171 	acc = 0.945549
Epoch: 81 	training: loss = 0.145784 	acc = 0.951705
Epoch: 82 	training: loss = 0.149974 	acc = 0.948627
Epoch: 83 	training: loss = 0.148198 	acc = 0.949811
Epoch: 84 	training: loss = 0.136843 	acc = 0.951231
Epoch: 85 	training: loss = 0.160406 	acc = 0.946733
Epoch: 86 	training: loss = 0.166984 	acc = 0.946665
Epoch: 87 	training: loss = 0.175265 	acc = 0.940307
Epoch: 88 	training: loss = 0.159892 	acc = 0.944332
Epoch: 89 	training: loss = 0.151954 	acc = 0.941660
Epoch: 90 	training: loss = 0.140249 	acc = 0.949540
Epoch: 91 	training: loss = 0.146089 	acc = 0.952415
Epoch: 92 	training: loss = 0.135167 	acc = 0.953362
Epoch: 93 	training: loss = 0.144086 	acc = 0.946699
Epoch: 94 	training: loss = 0.154054 	acc = 0.942201
Epoch: 95 	training: loss = 0.139759 	acc = 0.949033
Epoch: 96 	training: loss = 0.160460 	acc = 0.947206
Epoch: 97 	training: loss = 0.150652 	acc = 0.948390
Epoch: 98 	training: loss = 0.137132 	acc = 0.954004
Epoch: 99 	training: loss = 0.151779 	acc = 0.947139
